Column1,Numeric_Labels
मचली,5
स्थित,0
सहिद,0
शुक्रराज,1
शास्त्री,2
लाई,0
मृत्युदण्ड,0
दिइए,0
को,0
स्थान,0
मा,0
उन,0
को,0
पूर्ण,0
कद,0
को,0
शालिक,0
अनावरण,0
गरिए,0
को,0
छ,0
।,0
न्यू,3
रुकुमेली,4
प्रकाश,4
गेष्ट,4
हाउस,4
एण्ड,4
लज,4
का,0
सञ्चालक,0
लाई,0
समेत,0
प्रहरी,0
ले,0
अवैध,0
रूपमा,0
जुवा,0
खेलाए,0
को,0
भन्दै,0
पक्राउ,0
गरे,0
को,0
छ,0
।,0
विष्णुकुमारी,1
र,0
उनका,0
पति,0
लाई,0
माओवादी,0
ले,0
प्रत्यक्ष,0
हानी,0
त,0
पुर्‍याएनन्,0
",",0
मानसिक,0
त्रास,0
भने,0
प्रशस्तै,0
दिए,0
।,0
परिवारका,0
सदस्यका,0
साथ,0
मा,0
तारादेवी,1
।,0
त्यो,0
हुड्,0
को,0
बजाउने,0
लाई,0
हुड्के,0
भनिन्छ,0
।,0
यस,0
अघि,0
सन्,0
२०१६,0
मा,0
पाठक,0
संघ,0
को,0
उपमहासचिव,0
निर्वाचित,0
भएका,0
थिए,0
।,0
अर्थात्,0
",",0
राजा,0
महेन्द्र,1
ले,0
पहिलो,0
जननिर्वाचित,0
सरकार,0
अपदस्थ,0
गरेर,0
शासनसत्ता,0
आफ्नो,0
हात,0
मा,0
लिए,0
पछि,0
।,0
उन,0
ले,0
त्यहाँ,0
मेलवर्न,3
स्टार्स,4
का,0
लागि,0
सुरूवाती,0
४,0
खेल,0
खेल्दै,0
शानदार,0
प्रदर्शन,0
गरे,0
।,0
स्वदेशी,3
लघुवित्त,4
वित्तीय,4
संस्था,4
र,0
नागबेली,3
लघुवित्त,4
वित्तीय,4
संस्था,4
को,0
हकप्रद,0
शेयर,0
पनि,0
यसै,0
साता,0
स्टक,0
मा,0
सूचीकृत,0
भए,0
।,0
त्यस,0
मा,0
हिँड्न,0
थाले,0
पछि,0
सन्च,0
भा,0
’,0
झैं,0
लाग्याछ,0
",",0
’,0
हजुरबा,0
ले,0
क्रिश्चियन,0
धर्म,0
मा,0
लागे,0
पछिको,0
अनुभव,0
सुनाउनु,0
भयो,0
",",0
‘,0
छोरा,0
को,0
घरबार,0
पनि,0
के-के,0
भयो,0
",",0
भयो,0
।,0
दक्षिण,3
एसियाली,4
ओलम्पिक,4
काउन्सिल,4
का,0
अध्यक्ष,0
समेत,0
रहेका,0
श्रेष्ठ,1
ले,0
साग,0
को,0
नयाँ,0
तिथिका,0
बारेमा,0
छलफल,0
गर्न,0
यही,0
महिना,0
बैठक,0
राख्ने,0
प्रयास,0
गरे,0
पनि,0
अन्य,0
पदाधिकारी,0
को,0
व्यवस्थाका,0
कारण,0
सफल,0
नभएका,0
ले,0
अब,0
मार्च,0
मा,0
बैठक,0
बसी,0
यस,0
बारे,0
निर्णय,0
गर्ने,0
बताए,0
।,0
गर्जो,0
टार्न,0
त्यही,0
दिन्छन्,0
",",0
’,0
गुल्मका,0
प्रहरी,0
निरीक्षक,0
विजय,1
थापा,2
ले,0
भने,0
",",0
‘,0
पैसा,0
दिनुपर्छ,0
भन्ने,0
होइन,0
तर,0
कोही,0
ले,0
खुसी,0
ले,0
५०,0
/,0
१००,0
रूपैयाँ,0
छोडेर,0
जान्छन्,0
।,0
उन,0
ले,0
डा.,0
केसी,1
ले,0
अनसन,0
छाडेर,0
शिक्षा,0
विधेयक,0
को,0
कार्यान्वयन,0
को,0
नेतृत्व,0
लिन,0
सुझाव,0
दिए,0
।,0
चौतारा,0
पनि,0
भत्काइनेछ,0
।,0
अरु,0
बाट,0
सिक्नु,0
हैन,0
।,0
अध्यक्ष,0
तिमिल्सिना,1
ले,0
जसरी,0
मर्यादापालक,0
लगाएर,0
चिकित्सा,0
विधेयक,0
पेश,0
गर्न,0
मन्त्री,0
लाई,0
अनुमति,0
दिए,0
",",0
त्यस,0
बाट,0
राष्ट्रिय,0
सभा,0
को,0
परिपक्वता,0
होइन,0
कमजोरी,0
झल्किए,0
को,0
छ,0
।,0
कृष्णकुमारी,1
भेट,0
भएका,0
जति,0
लाई,0
गर्व,0
ले,0
सुनाउँछिन्,0
",",0
',0
मोहन,1
(,0
साहिँला,0
छोरा,0
),0
ले,0
गरेर,0
कान,0
सुन्न,0
थाले,0
की,0
छु,0
।,0
सन्,0
२००७,0
-,0
०८,0
मा,0
अष्ट्रेलिया,3
२,0
-,0
१,0
ले,0
विजयी,0
-,0
मोहम्मद,1
अजहरुद्दीन,2
अब,0
उहाँ,0
ले,0
यस,0
को,0
नाम,0
मा,0
द्वन्द्वकालका,0
मुद्दा,0
हरु,0
",",0
अब,0
प्रचण्ड,1
लाई,0
नै,0
जेल,0
हाल्छु,0
",",0
अर्को,0
लाई,0
जेल,0
हाल्छु,0
।,0
ग्ल्यामराइज,0
मात्रै,0
गरिन्छ,0
।,0
आयोजना,0
ले,0
पटकपटक,0
सम्झौता,0
गर्ने,0
तर,0
पीडित,0
को,0
माग,0
को,0
सम्बोधन,0
नगरेका,0
कारण,0
प्रितिरोध,0
मा,0
उत्रनु,0
परे,0
को,0
सङ्घर्ष,0
समितिका,0
संयोजक,0
सुजन,1
पोख्रेल,2
ले,0
बताए,0
।,0
नेपाल,3
पत्रकार,4
महासंघ,4
धनुषा,4
का,0
अध्यक्ष,0
अनिल,1
मिश्र,2
ले,0
विगत,0
केही,0
वर्ष,0
देखि,0
शान्त,0
रहे,0
को,0
यो,0
प्रदेश,0
को,0
आठ,0
जिल्ला,0
मा,0
फेरि,0
अशान्ति,0
फैलाउने,0
कार्य,0
यो,0
संवाद,0
तथा,0
सुझाव,0
आयोग,0
बाट,0
नहोस्,0
भन्दै,0
त्यस,0
तर्फ,0
सचेत,0
गराए,0
।,0
त्यस,0
पछि,0
हातीपोलो,0
सुरू,0
भयो,0
।,0
प्रस्तावित,0
राजूदतविरूद्ध,0
सुनुवाइ,0
समिति,0
ले,0
दस,0
दिन,0
को,0
स,0
मय,0
राख्दै,0
उजुरी,0
आह्वान,0
गरे,0
पनि,0
उनीहरूविरूद्ध,0
कुनै,0
उजुरी,0
परे,0
को,0
थिएन,0
।,0
पूर्णबहादुर,1
बोहरा,2
का,0
चार,0
मध्ये,0
तीन,0
छोराछोरी,0
अपाङ्गता,0
भएका,0
छन्,0
।,0
“,0
नगरवासी,0
को,0
गुनासो,0
लाई,0
सम्बोधन,0
गरिए,0
को,0
छ,0
",",0
नयाँ,0
मापदण्ड,0
ले,0
धेरै,0
राहत,0
मिल्ने,0
छ,0
”,0
",",0
प्रवक्ता,0
बराइली,1
ले,0
भने,0
।,0
द,0
फेभरेट,0
(,0
फियोना,1
क्रोम्बी,2
तथा,0
एलिस,1
फेलटन,2
),0
भात,0
पकाउनुपर्थ्यो,0
।,0
प्रदेश,3
दुई,4
को,0
राजधानी,0
र,0
प्रदेश,0
को,0
नामाकरण,0
को,0
विषय,0
मा,0
सुझाव,0
संकलनका,0
लागि,0
गठन,0
गरिए,0
को,0
संवाद,3
तथा,4
सुझाव,4
आयोग,4
ले,0
जनकपुरधाम,5
मा,0
सुझाव,0
संकलन,0
गरे,0
को,0
छ,0
।,0
त्यस,0
पछि,0
म,0
पनि,0
होटल,0
फर्किएँ,0
।,0
चौधरी,1
ले,0
भ्रष्टाचार,0
निवारण,0
ऐन,0
",",0
२०५९,0
को,0
दफा,0
३,0
को,0
उपदफा,0
(,0
१,0
),0
बमोजिम,0
कसुर,0
गरे,0
को,0
पुष्टि,0
भएका,0
ले,0
उन,0
लाई,0
बिगो,0
रू,0
.,0
२,0
",",0
५०,0
",",0
०००,0
।,0
त्यस्तै,0
",",0
२०६५,0
–,0
६६,0
मा,0
सिनर्जी,3
प्रोपर्टी,4
डेभलर,4
ले,0
नबिल,3
बैक,4
मा,0
१५,0
करोड,0
रुपैयाँ,0
ऋण,0
लिन,0
एनबी,3
बाट्रा,4
हस्पिटल,4
एन्ड,4
मेडिकल,4
रिसर्च,4
सेन्टर,4
को,0
नाउँ,0
मा,0
रहे,0
को,0
२३,0
रोपनी,0
जग्गा,0
धितो,0
मा,0
राखेको,0
छ,0
।,0
नि,0
जी,0
क्षेत्र,0
को,0
वायुसेवा,0
प्रदायक,0
बुद्ध,3
एयर,4
ले,0
जहाज,0
थप,0
गर्ने,0
भएको,0
छ,0
।,0
सात,0
वर्षीया,0
"कश्वी,",0
जिजू-हजुरआमा,0
लाई,0
आफ्नै,0
हात,0
ले,0
भात,0
मुछेर,0
ख्वाउन,0
तत्पर,0
रहन्छिन्,0
।,0
हाम्रो,0
पकड,0
अंग्रेजी,0
मा,0
भन्दा,0
हिन्दी,0
मा,0
राम्रो,0
थियो,0
।,0
अस्ट्रेलिया,3
ले,0
यसै,0
सिरिज,0
मा,0
३१,0
वर्ष,0
पछि,0
पहिलो,0
पटक,0
फलोअन,0
को,0
सामना,0
गरे,0
को,0
हो,0
।,0
मर्मत,0
गरेर,0
बसेका,0
छौं,0
।,0
उसको,0
मा,0
खानुपरे,0
अलग्गै,0
चुल्हो,0
मा,0
पकाउने,0
।,0
अर्चना,1
:,0
तपाईं,0
ले,0
काम,0
गर्न,0
थाले,0
को,0
१८,0
वर्ष,0
भयो,0
।,0
राष्ट्रपति,0
विद्यादेवी,1
भण्डारी,2
बाट,0
उद्घाटन,0
हुने,0
ठाउँ,0
जान,0
म,0
लाई,0
हतार,0
भइ,0
सकेको,0
थियो,0
।,0
खाली,0
उनी,0
हरुलाई,0
मेरा,0
कुरा,0
सुनाएँ,0
।,0
त्यस,0
मध्ये,0
सबै,0
भन्दा,0
बढि,0
स्मार्ट,3
टेलिकम,4
प्रालि,4
ले,0
१,0
अरव,0
४०,0
करोड,0
७६,0
लाख,0
५८,0
हजार,0
भन्दा,0
बढि,0
बक्यौता,0
रकम,0
बुझाउन,0
बाँकि,0
छ,0
।,0
त्यसै,0
को,0
उपज,0
सङ्गीतकार,0
सुनिल,1
थापा,2
गौचन,2
को,0
पछिल्लो,0
एउटा,0
गीत,0
मा,0
सङ्गीत,0
गर्दै,0
गरे,0
को,0
सन्दर्भ,0
सम्झदै,0
भन्छन्,0
–,0
‘,0
अन्न,0
पूर्ण,0
हिमाल,0
मुनि,0
गंगा,0
पूर्ण,0
ताल,0
’,0
गीत,0
लाई,0
सङ्गीत,0
गर्दै,0
थिएँ,0
।,0
तत्कालीन,0
नेकपा,3
एमाले,4
की,0
उम्मेद्वार,0
खाण्डा,1
लामा,2
गुरुङ,2
ले,0
उम्मेद्,0
वारी,0
फिर्ता,0
लिँदै,0
समर्थन,0
गरे,0
पछि,0
मनाङे,1
विजयी,0
भएका,0
थिए,0
।,0
मंसिर,0
२०,0
गते,0
आन्तरिक,3
लेखा,4
परीक्षक,4
ले,0
२४,0
घण्टा,0
भित्र,0
नै,0
रकम,0
दाखिला,0
गर्न,0
पत्र,0
दिए,0
को,0
तर,0
",",0
दर्जी,1
ले,0
कार्यालय,0
मा,0
आएर,0
सबै,0
पैसा,0
आफैं,0
ले,0
खर्च,0
गरे,0
को,0
र,0
तिर्न,0
न,0
सकेको,0
खण्ड,0
मा,0
कानुन,0
अनुसार,0
जस्तोसु,0
कै,0
कारबाही,0
भोग्न,0
पनि,0
तयार,0
छु,0
भनेर,0
सनाखत,0
गरेर,0
गए,0
को,0
कार्यालय,0
प्रमुख,0
पौडेल,1
ले,0
बताए,0
।,0
',0
ठग्स,0
अफ,0
हिन्दोस्तान,0
',0
फ्लप,0
हुँदा,0
मानिस,0
हरूले,0
रिस,0
फेर्ने,0
मौका,0
पाए:,0
आमिर,1
कोइराला,1
का,0
अनुसार,0
विषयगत,0
ज्ञान,0
नभएका,0
हरूले,0
पढाउने,0
तालिम,0
मात्र,0
लिएर,0
राम्रो,0
शिक्षण,0
गर्छन्,0
भन्ने,0
आश,0
गर्न,0
सकिँदैन,0
।,0
किन,0
चाहिन्छ,0
स्वास्नी,0
मान्छे,0
?,0
यस,0
अघि,0
प्रवक्ता,0
को,0
जिम्मे,0
वारी,0
पाएका,0
सहायक,0
रथी,0
गोकुल,1
भण्डारी,2
तालिम,3
शिक्षालय,4
खरिपाटी,4
मा,0
सरुवा,0
भएका,0
छन्,0
।,0
प्रतिवेदन,0
अनुसार,0
बुटवल,3
उपमहानगरपालिका,4
को,0
असुलउपर,0
मात्रै,0
बेरुजु,0
छ,0
तर,0
पेश्,0
की,0
भने,0
छैन,0
।,0
भाइस,0
(,0
ह्याक,1
कोरविन,2
लामो,0
यात्रा,0
मा,0
कति,0
सकस,0
झेलेका,0
थिए,0
केही,0
थाहा,0
भएन,0
।,0
ती,0
मध्ये,0
एउटा,0
मा,0
',0
छोरी,0
भएर,0
जन्मिनु,0
मा,0
पीर,0
मान्नुपर्दैन,0
",",0
एक,0
दिन,0
यस्तो,0
आउँछ,0
",",0
जब,0
समाज,0
ले,0
छोरी,0
पाएको,0
मा,0
खुसी,0
मनाउनेछ,0
',0
भन्ने,0
सन्देश,0
दिए,0
की,0
छन्,0
।,0
मृतक,0
मल्ल,1
सशस्त्र,3
प्रहरी,4
का,0
हबल्दार,0
धर्मजीत,1
मल्ल,2
का,0
छोरा,0
हुन्,0
।,0
सत्तारूढ,0
नेकपा,3
ले,0
संसद,0
मा,0
भएको,0
शक्ति,0
को,0
दुरुपयोग,0
गरेर,0
नागरिक,0
को,0
ठूलो,0
संघर्ष,0
पछि,0
वरिष्ठ,0
चिकित्सक,0
केसी,1
सँग,0
गरिए,0
को,0
सहमतिविपरित,0
सो,0
विधेयक,0
संसदीय,0
समिति,0
को,0
बहुमत,0
को,0
बल,0
मा,0
जबरजस्ती,0
पारित,0
गर्नु,0
दुर्भाग्य,0
पूर्ण,0
भएको,0
कांग्रेस,0
नेता,0
थापा,1
को,0
प्रतिक्रिया,0
छ,0
।,0
ती,0
मध्ये,0
सात,0
वटा,0
टनेल,0
आफ्नै,0
रहे,0
को,0
अच्युत,1
ले,0
बताए,0
।,0
उता,0
",",0
बेलायत,5
मा,0
पनि,0
स्कु,0
ले,0
केटाकेटी,0
को,0
निद्रा,0
बिथोलिएको,0
बारे,0
संसद,0
मै,0
बहस,0
भएको,0
थियो,0
।,0
अब्बल,0
शिक्षक,0
भए,0
पो,0
विद्यार्थी,0
लाई,0
राम्ररी,0
पढाउन,0
सक्छन्,0
।,0
हामी,0
त,0
विश्,0
वासी,0
हौं,0
",",0
’,0
हजुरआमा,0
ले,0
जवाफ,0
दिनु,0
भयो,0
।,0
लेखन,0
र,0
शब्द,0
चयन,0
मा,0
नि,0
कै,0
सौखिन,0
",",0
शब्द,0
को,0
फारूपना,0
रुचाउने,0
गौचन,1
ले,0
थोरै,0
लेख्ने,0
र,0
लेखेका,0
रचना,0
लाई,0
धेरै,0
परिमार्जन,0
गर्नुपर्छ,0
भन्ने,0
मान्यता,0
राख्थे,0
।,0
डाक्टर,0
केसी,1
सँग,0
गरे,0
को,0
सम्झौता,0
मा,0
सरकार,0
फर्कि,0
योस्,0
र,0
समाधान,0
मा,0
पुगोस्,0
",",0
’,0
कांग्रेस,0
केन्द्रीय,0
समिति,0
ले,0
आग्रह,0
गरे,0
को,0
छ,0
",",0
‘,0
डाक्टर,0
केसी,1
को,0
जीवनरक्षाका,0
लागि,0
सरकार,0
छिटो,0
गम्भीर,0
हुनुपर्छ,0
।,0
भट्टराई,1
ले,0
संसदीय,0
समिति,0
बाट,0
निर्णय,0
हुदाँ,0
समेत,0
सर्वोच्च,0
ले,0
कार्यान्वयन,0
मा,0
अटेर,0
गरे,0
को,0
बताएका,0
थिए,0
।,0
घाइते,0
हबल्दार,0
यादव,1
लाई,0
उपचारका,0
लागि,0
विराटनगर,5
स्थित,0
न्यूरो,3
अस्पताल,4
पठाइए,0
को,0
छ,0
भने,0
गोली,0
हानी,0
फरार,0
भएका,0
को,0
खो,0
जी,0
भइरहे,0
को,0
उन,0
ले,0
बताए,0
।,0
',0
इलाम,5
बाट,0
भद्रपुर,5
सम्म,0
एम्बुलेन्स,0
र,0
त्यहाँ,0
बाट,0
सेना,0
को,0
हेलिकप्टर,0
बाट,0
काठमाडौं,5
ल्याइयो,0
",",0
',0
उन,0
ले,0
शुक्रबार,0
बिहान,0
काठमाडौं,5
विमानस्थल,6
मा,0
अवतरणलगत्तै,0
सेतोपाटी,3
सँग,0
भने,0
",",0
',0
टिचिङ,3
अस्पताल,4
को,0
आइसियु,0
मा,0
भर्ना,0
गर्ने,0
तयारी,0
छ,0
।,0
डाक्टर,0
केसी,1
ले,0
भने,0
आफ्नो,0
माग,0
पूरा,0
नभए,0
सम्म,0
अनसन,0
जारी,0
रहने,0
बताएका,0
छन्,0
।,0
खक्रौला,3
भन्सार,4
कार्यालय,4
का,0
प्रमुख,0
वसन्तकुमार,1
केसी,2
ले,0
सामान,0
लिलाम,0
गरिने,0
र,0
पक्राउ,0
परेका,0
व्यक्ति,0
को,0
बयान,0
लिई,0
कारबाही,0
अगाडि,0
बढाइने,0
बताए,0
।,0
सेमिफाइनल,0
पुगि,0
सकेको,0
नेपाल,3
ले,0
समूह,0
चरण,0
को,0
अन्तिम,0
खेल,0
मा,0
माघ,0
२,0
गते,0
थाइल्याण्ड,3
सँग,0
खेल्नेछ,0
।,0
सिलेट,3
ले,0
खेलेका,0
७,0
मध्ये,0
एक,0
खेल,0
मा,0
सन्दीप,1
ले,0
खेलेका,0
थिएनन्,0
।,0
टुटल,3
मार्फत्,0
सेवा,0
दिन,0
गाह्रो,0
छैन,0
।,0
‘,0
नेपाली,0
संगीत,0
हाम्रो,0
आफ्नै,0
मौलिक,0
पहिचान,0
मा,0
पनि,0
महान,0
छ,0
",",0
’,0
यसरी,0
विभिन्न,0
प्रयोग,0
गर्नु,0
को,0
कारण,0
खुलाउँदै,0
क्षितिज,1
भन्छन्,0
",",0
‘,0
आधुनिक,0
समय,0
मा,0
विश्व,0
मञ्च,0
सम्म,0
हाम्रो,0
नेपालीपन,0
लैजान,0
यस,0
लाई,0
फराकिलो,0
दायरा,0
मा,0
ढाल्नु,0
पर्ने,0
देखेर,0
यी,0
प्रयोग,0
हरू,0
गर्दै,0
आए,0
को,0
छु,0
।,0
’,0
भवन,0
को,0
अगाडि,0
को,0
४५,0
हजार,0
वर्गफिट,0
भने,0
सेना,0
आफैं,0
ले,0
प्रयोग,0
गर्ने,0
श्रेष्ठ,1
ले,0
बताए,0
।,0
आज,0
को,0
खेल,0
मा,0
जित,0
निकाल्ने,0
टोली,0
सेमिफाइनल,0
मा,0
पुग्नेछ,0
।,0
उनी,0
सँगको,0
लामो,0
वार्ता,0
सकेर,0
फर्कंदा,0
",",0
मेरो,0
मन,0
मा,0
थुप्रै,0
प्रश्न,0
मध्ये,0
एक,0
यो,0
पनि,0
थियो,0
",",0
२०७४,0
भदौ,0
महिना,0
मा,0
९४,0
वर्ष,0
पार,0
गरे,0
की,0
ती,0
आमा,0
को,0
मनका,0
वेदना,0
",",0
आकांक्षा,0
र,0
आज,0
का,0
महिलाका,0
चाहना,0
बीच,0
के,0
कति,0
अन्तर,0
आएछन्,0
?,0
तर,0
पनि,0
क्लिन्गर,1
आउट,0
भएको,0
निर्णय,0
कायम,0
रह्यो,0
।,0
डाक्टर,0
केसी,1
को,0
जीवनरक्षाका,0
लागि,0
ठोस,0
कदम,0
नचा,0
ले,0
सरकारविरूद्ध,0
थप,0
आन्दोलन,0
कार्यक्रम,0
गर्ने,0
संघ,0
ले,0
जनाए,0
को,0
छ,0
।,0
हरिसिद्धि,3
कारखाना,4
मा,0
कर्जा,0
दुरुपयोग,0
गरी,0
जग्गा,0
लिलाम,0
गराउन,0
खोजिए,0
को,0
भन्दै,0
साधारण,0
सदस्य,0
हरूबाट,0
उजुरी,0
पर्दै,0
आएका,0
छन्,0
।,0
चक्रपथ,5
नाघ्यौं,0
",",0
भैंसेपाटी,5
कट्यौं,0
",",0
प्रस्थानविन्दु,0
खोकना,5
बाट,0
बुंगमती,5
हुँदै,0
फर्सीडोल,5
पनि,0
छाड्यौं,0
।,0
त्यस्तै,0
माघ,0
१,0
६,0
गते,0
सहिद,0
स्मारक,0
लैनचौर,5
मा,0
ज्ञात,0
अज्ञात,0
सहिद,0
प्रति,0
श्रद्धाञ्जली,0
सभा,0
हुनेछ,0
।,0
टुटल,3
मार्फत,0
आफू,0
हरूले,0
दिँदै,0
आए,0
को,0
सेवा,0
बारे,0
उनी,0
हरू,0
के,0
भन्छन्,0
त,0
",",0
सुनौं,0
उनी,0
हरूकै,0
शब्द,0
मा,0
-,0
त्यस,0
पछि,0
ढाका,3
डाइनामाइट्स,4
विरूद्ध,0
शुक्रबार,0
भएको,0
खेल,0
मा,0
४,0
ओभर,0
मा,0
२७,0
रन,0
खर्चेर,0
१,0
विकेट,0
लिएका,0
सन्दीप,1
ले,0
शनिबार,0
राइडर्स,3
विरुद्ध,0
किफायती,0
बलिङ,0
गरे,0
पनि,0
विकेट,0
लिन,0
सकेनन्,0
।,0
यस्तो,0
अवस्था,0
मा,0
मातृभूमिका,0
मुख्य,0
कर्ताधर्ता,0
भने,0
कै,0
वियोगी,1
र,0
गोतामे,1
।,0
‘,0
अष्ट्रेलिया,5
मा,0
नियमित,0
आयोजना,0
भइरहने,0
अन्तर्राष्ट्रिय,0
स्तरका,0
सांगीतिक,0
कार्यक्रम,0
ले,0
मेरो,0
ज्ञान,0
लाई,0
अझ,0
फराकिलो,0
पारिदिए,0
को,0
छ,0
",",0
’,0
क्षितिज,1
भन्छन्,0
",",0
‘,0
बेलाबेला,0
आयोजना,0
भइरहने,0
नेपाली,0
सांगीतिक,0
कार्यक्रम,0
हरूमा,0
पनि,0
उपस्थिती,0
जनाउने,0
गरे,0
को,0
छु,0
।,0
संसार,0
मा,0
असफल,0
भै,0
सकेको,0
विचार,0
को,0
अभ्यास,0
ले,0
हामी,0
लाई,0
ह्युगो,1
चाभेज,2
को,0
भेनेजुएला,5
बनाउन,0
सक्छ,0
।,0
',0
पद्म,1
शमशेर,2
को,0
दरबार,0
मा,0
लुगा,0
किन्न,0
टिकट,0
दिन्थे,0
।,0
सुनावाइ,0
समिति,0
ले,0
गत,0
साउन,0
१८,0
गते,0
जोशी,1
लाई,0
प्रधानन्यायाधीश,0
मा,0
अस्वीकृत,0
गर्ने,0
निर्णय,0
लिए,0
को,0
थियो,0
।,0
२,3
नम्बर,4
प्रदेश,4
",",0
विशेषगरी,0
रौतहट,5
",",0
जहाँ,0
बालबिबाह,0
सबै,0
भन्दा,0
बढि,0
हाम्रो,0
योजना,0
मा,0
थियो,0
।,0
सोमबार,0
बिहान,0
सामाजिक,0
सञ्जाल,0
ट्वीटर,3
मार्फत्,0
शुभकामना,0
सन्देश,0
जारी,0
गर्दै,0
प्रधानमन्त्री,0
ओली,1
ले,0
नेपाल,5
ी,0
टोली,0
ले,0
प्राप्त,0
गरे,0
को,0
सफलता,0
ले,0
खेल,0
जगत,0
मा,0
नेपाल,5
उदयीमान,0
शक्तिका,0
रूपमा,0
देखिए,0
को,0
उल्लेख,0
गरे,0
।,0
धरान,5
को,0
बिपी,3
कोइराला,4
स्वास्थ्य,4
विज्ञान,4
प्रतिष्ठान,4
का,0
विशेषज्ञ,0
डाक्टर,0
को,0
टोली,0
ले,0
बुधबार,0
केसी,1
को,0
स्वास्थ्य,0
मा,0
गम्भीर,0
समस्या,0
भएका,0
ले,0
इलाम,5
मा,0
राखिराख्नु,0
खतरा,0
पूर्ण,0
हुने,0
सुझाव,0
दिएका,0
थिए,0
।,0
म,0
राजनीति,0
मा,0
खासै,0
चासो,0
राख्ने,0
मान्छे,0
होइन,0
।,0
सेना,0
ले,0
हस्तक्षेप,0
गरेर,0
एक,0
वर्ष,0
पछि,0
उन,0
